service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1901,0,0,0,0,0,0,0,20161213,20170228
1902,0,0,0,0,0,0,0,20161213,20170228
1903,0,0,0,0,0,0,0,20161213,20170228
1904,0,0,0,0,0,0,0,20161213,20170228
1911,0,0,0,0,0,0,0,20161213,20170228
47201,1,1,1,1,1,0,0,20161213,20161217
47202,1,1,1,1,0,0,0,20161213,20161217
47203,0,1,1,1,1,0,0,20161213,20161217
47204,0,1,1,1,1,0,0,20161213,20161217
47205,0,0,0,0,1,0,0,20161213,20161217
47206,0,0,0,0,0,1,0,20161213,20161217
47207,0,0,0,0,0,1,0,20161213,20161217
47208,0,0,0,0,0,0,1,20161213,20161217
47209,0,0,0,0,0,0,1,20161213,20161217
47210,0,0,1,1,1,1,0,20161213,20161217
47211,0,1,1,1,1,1,0,20161213,20161217
47212,0,1,1,1,1,1,0,20161213,20161217
47213,1,0,0,0,0,0,0,20161213,20161217
47214,1,0,0,0,0,0,0,20161213,20161217
47215,1,0,0,0,0,0,0,20161213,20161217
47216,0,1,0,0,0,0,0,20161213,20161217
47217,0,1,0,0,0,0,0,20161213,20161217
47218,1,0,1,1,1,0,0,20161213,20161217
47219,1,0,1,1,1,0,0,20161213,20161217
47220,0,0,1,0,0,0,0,20161213,20161217
47221,0,0,1,0,0,0,0,20161213,20161217
47222,1,1,0,1,1,0,0,20161213,20161217
47223,1,1,0,1,1,0,0,20161213,20161217
47224,0,0,0,1,0,0,0,20161213,20161217
47225,0,0,0,1,0,0,0,20161213,20161217
47226,1,1,1,0,1,0,0,20161213,20161217
47227,1,1,1,0,1,0,0,20161213,20161217
47228,0,1,1,0,0,0,0,20161213,20161217
47229,0,1,1,0,0,0,0,20161213,20161217
47230,1,0,0,1,1,0,0,20161213,20161217
47231,1,0,0,1,1,0,0,20161213,20161217
47232,1,1,0,0,1,0,0,20161213,20161217
47233,1,1,0,0,1,0,0,20161213,20161217
47234,1,1,1,1,1,0,1,20161213,20161217
47235,1,1,1,1,1,0,1,20161213,20161217
47236,1,1,1,1,1,1,0,20161213,20161217
47237,1,1,1,1,1,1,0,20161213,20161217
47238,1,1,1,1,1,1,0,20161213,20161217
47239,1,1,1,1,1,0,0,20161213,20161217
47240,1,1,1,1,0,0,1,20161213,20161217
47301,1,1,1,1,1,0,0,20161218,20170228
47302,1,1,1,1,0,0,0,20161218,20170228
47303,0,1,1,1,1,0,0,20161218,20170228
47304,0,1,1,1,1,0,0,20161218,20170228
47305,0,0,0,0,1,0,0,20161218,20170228
47306,0,0,0,0,0,1,0,20161218,20170228
47307,0,0,0,0,0,1,0,20161218,20170228
47308,0,0,0,0,0,0,1,20161218,20170228
47309,0,0,0,0,0,0,1,20161218,20170228
47310,0,0,1,1,1,1,0,20161218,20170228
47311,0,1,1,1,1,1,0,20161218,20170228
47312,0,1,1,1,1,1,0,20161218,20170228
47313,1,0,0,0,0,0,0,20161218,20170228
47314,1,0,0,0,0,0,0,20161218,20170228
47315,1,0,0,0,0,0,0,20161218,20170228
47316,0,1,0,0,0,0,0,20161218,20170228
47317,0,1,0,0,0,0,0,20161218,20170228
47318,1,0,1,1,1,0,0,20161218,20170228
47319,1,0,1,1,1,0,0,20161218,20170228
47320,0,0,1,0,0,0,0,20161218,20170228
47321,0,0,1,0,0,0,0,20161218,20170228
47322,1,1,0,1,1,0,0,20161218,20170228
47323,1,1,0,1,1,0,0,20161218,20170228
47324,0,0,0,1,0,0,0,20161218,20170228
47325,0,0,0,1,0,0,0,20161218,20170228
47326,1,1,1,0,1,0,0,20161218,20170228
47327,1,1,1,0,1,0,0,20161218,20170228
47328,0,1,1,0,0,0,0,20161218,20170228
47329,0,1,1,0,0,0,0,20161218,20170228
47330,1,0,0,1,1,0,0,20161218,20170228
47331,1,0,0,1,1,0,0,20161218,20170228
47332,1,1,0,0,1,0,0,20161218,20170228
47333,1,1,0,0,1,0,0,20161218,20170228
47334,1,1,1,1,1,0,1,20161218,20170228
47335,1,1,1,1,1,0,1,20161218,20170228
47336,1,1,1,1,1,1,0,20161218,20170228
47337,1,1,1,1,1,1,0,20161218,20170228
47338,1,1,1,1,1,1,0,20161218,20170228
47339,1,1,1,1,1,0,0,20161218,20170228
47340,1,1,1,1,0,0,1,20161218,20170228
105201,1,1,1,1,1,0,0,20161213,20170228
105202,1,1,1,1,0,0,0,20161213,20170228
105203,0,1,1,1,1,0,0,20161213,20170228
105204,0,1,1,1,1,0,0,20161213,20170228
105205,0,0,0,0,1,0,0,20161213,20170228
105206,0,0,0,0,0,1,0,20161213,20170228
105207,0,0,0,0,0,1,0,20161213,20170228
105208,0,0,0,0,0,0,1,20161213,20170228
105209,0,0,0,0,0,0,1,20161213,20170228
105210,0,0,1,1,1,1,0,20161213,20170228
105211,0,1,1,1,1,1,0,20161213,20170228
105212,0,1,1,1,1,1,0,20161213,20170228
105213,1,0,0,0,0,0,0,20161213,20170228
105214,1,0,0,0,0,0,0,20161213,20170228
105215,1,0,0,0,0,0,0,20161213,20170228
105216,0,1,0,0,0,0,0,20161213,20170228
105217,0,1,0,0,0,0,0,20161213,20170228
105218,1,0,1,1,1,0,0,20161213,20170228
105219,1,0,1,1,1,0,0,20161213,20170228
105220,0,0,1,0,0,0,0,20161213,20170228
105221,0,0,1,0,0,0,0,20161213,20170228
105222,1,1,0,1,1,0,0,20161213,20170228
105223,1,1,0,1,1,0,0,20161213,20170228
105224,0,0,0,1,0,0,0,20161213,20170228
105225,0,0,0,1,0,0,0,20161213,20170228
105226,1,1,1,0,1,0,0,20161213,20170228
105227,1,1,1,0,1,0,0,20161213,20170228
105228,0,1,1,0,0,0,0,20161213,20170228
105229,0,1,1,0,0,0,0,20161213,20170228
105230,1,0,0,1,1,0,0,20161213,20170228
105231,1,0,0,1,1,0,0,20161213,20170228
105232,1,1,0,0,1,0,0,20161213,20170228
105233,1,1,0,0,1,0,0,20161213,20170228
105234,1,1,1,1,1,0,1,20161213,20170228
105235,1,1,1,1,1,0,1,20161213,20170228
105236,1,1,1,1,1,1,0,20161213,20170228
105237,1,1,1,1,1,1,0,20161213,20170228
105238,1,1,1,1,1,1,0,20161213,20170228
105239,1,1,1,1,1,0,0,20161213,20170228
105240,1,1,1,1,0,0,1,20161213,20170228
205201,1,1,1,1,1,0,0,20161213,20170228
