service_id,date,exception_type
1901,20161213,1
1901,20161216,1
1901,20161218,1
1901,20161219,1
1901,20161221,1
1901,20161226,1
1901,20161227,1
1901,20161228,1
1901,20170102,1
1901,20170107,1
1901,20170117,1
1901,20170125,1
1901,20170127,1
1901,20170128,1
1901,20170214,1
1901,20170216,1
1901,20170224,1
1901,20170228,1
1902,20161220,1
1902,20161223,1
1902,20170105,1
1902,20170106,1
1902,20170109,1
1902,20170110,1
1902,20170123,1
1902,20170124,1
1902,20170126,1
1902,20170223,1
1903,20170121,1
1904,20161214,1
1904,20161231,1
1904,20170108,1
1904,20170115,1
1904,20170129,1
1904,20170216,1
1911,20170122,1
1911,20170226,1
47301,20161225,2
47301,20161226,2
47301,20170101,2
47301,20170102,2
47302,20161225,2
47302,20161226,2
47302,20170101,2
47302,20170102,2
47303,20161225,2
47303,20161226,2
47303,20170101,2
47303,20170102,2
47304,20161226,2
47304,20161227,2
47304,20170102,2
47304,20170103,2
47305,20161225,2
47305,20161226,2
47305,20170101,2
47305,20170102,2
47306,20161225,2
47306,20161226,2
47306,20170101,2
47306,20170102,2
47307,20161226,2
47307,20161227,2
47307,20170102,2
47307,20170103,2
47308,20161226,2
47308,20161227,2
47308,20170102,2
47308,20170103,2
47309,20161225,1
47309,20161226,1
47309,20170101,1
47309,20170102,1
47310,20161226,2
47310,20161227,2
47310,20170102,2
47310,20170103,2
47311,20161225,2
47311,20161226,2
47311,20170101,2
47311,20170102,2
47312,20161226,2
47312,20161227,2
47312,20170102,2
47312,20170103,2
47313,20161225,2
47313,20161226,2
47313,20170101,2
47313,20170102,2
47314,20161226,2
47314,20161227,2
47314,20170102,2
47314,20170103,2
47315,20161226,1
47315,20161227,1
47315,20170102,1
47315,20170103,1
47316,20161225,2
47316,20161226,2
47316,20170101,2
47316,20170102,2
47317,20161226,2
47317,20161227,2
47317,20170102,2
47317,20170103,2
47318,20161225,2
47318,20161226,2
47318,20170101,2
47318,20170102,2
47319,20161226,2
47319,20161227,2
47319,20170102,2
47319,20170103,2
47320,20161225,2
